"sequencial","dataadmissao","transferido","codigoatleta","codigoclube"
15194,2015-09-26,false,18856,46
15195,2015-12-13,false,18857,38
15196,1900-01-01,false,18860,38
15197,2015-12-13,false,18861,38
15198,2015-12-13,false,18862,38
15199,2015-12-13,false,18864,38
15200,2015-12-13,false,18865,38
15201,2015-12-13,false,18866,38
15202,2015-12-13,false,18867,38
15203,2015-12-06,false,18868,31
15204,2015-12-06,false,18869,31
15205,2015-12-06,false,18870,31
15206,2015-12-06,false,18871,31
15207,2015-12-06,false,18872,39
15208,2015-12-06,false,18873,39
15209,2015-12-06,false,18874,39
15210,2015-12-03,false,18875,32
15211,2015-12-03,false,18876,32
15212,2015-12-03,false,18877,32
15213,2015-12-03,false,18878,32
15214,2015-12-03,false,18879,32
15215,1900-01-01,false,18883,32
15216,2015-11-22,false,18884,23
15217,2015-11-22,false,18885,23
15218,2015-11-22,false,18886,23
15219,2015-11-22,false,18887,23
15220,2015-11-28,false,18888,34
15221,2015-11-28,false,18889,34
15222,2015-11-28,false,18890,34
15223,2015-11-28,false,18891,34
15224,2015-12-06,false,18892,28
15225,2015-12-06,false,18893,28
15226,2015-12-06,false,18894,28
19004,2014-12-20,false,23053,28
15228,2015-12-06,false,18896,28
15229,2015-12-06,false,18897,28
15230,2015-12-06,false,18898,28
19055,2018-01-01,false,21536,28
15232,2015-12-06,false,18900,28
15233,2015-12-06,false,18901,28
15234,2015-12-06,false,18902,28
15235,2015-12-06,false,18903,28
15236,2015-12-06,false,18904,28
15237,2015-12-06,false,18905,28
15238,2015-12-06,false,18906,28
15239,2015-12-06,false,18907,28
15240,2015-12-06,false,18908,28
22239,2021-03-01,false,25789,117
15242,2015-12-06,false,18910,28
15243,2015-12-06,false,18911,28
15244,2015-12-06,false,18912,28
15245,2015-12-06,false,18913,28
15246,2015-12-06,false,18914,28
15247,2015-12-06,false,18915,28
15248,2015-12-06,false,18916,28
15249,2015-11-28,false,18917,34
15250,2015-11-28,false,18918,34
15251,2015-12-04,false,18919,31
15252,2015-12-04,false,18920,31
15253,2015-12-04,false,18921,31
15254,2015-12-04,false,18922,31
15255,2015-12-04,false,18923,31
15256,2015-12-04,false,18924,31
15257,2015-12-04,false,18926,31
15258,2015-12-04,false,18927,31
15259,2015-12-04,false,18928,31
15260,2015-12-04,false,18929,31
15261,2015-11-29,false,18931,31
15262,2015-11-29,false,18932,31
19187,2016-07-05,false,18933,31
15264,2015-11-29,false,18934,31
15265,2015-11-29,false,18935,31
15266,2015-11-29,false,18936,31
15267,2015-11-29,false,18937,31
15268,2015-11-29,false,18938,31
15269,2015-11-29,false,18939,31
15270,2015-12-05,false,18940,31
15271,2015-12-05,false,18941,31
15272,2015-12-05,false,18942,31
15273,2015-12-05,false,18943,31
15274,2015-12-05,false,18944,31
15275,2015-12-05,false,18945,31
15276,2015-12-05,false,18947,31
15277,2015-12-05,false,18948,31
15278,2015-12-05,false,18949,31
15279,2015-12-05,false,18950,31
15280,2015-12-05,false,18951,31
15281,2015-12-05,false,18952,31
15282,2015-12-05,false,18953,31
15283,2015-12-05,false,18954,31
15284,2015-11-29,false,18957,19
15285,2015-11-29,false,18958,19
15286,2015-11-29,false,18959,19
15287,2015-11-29,false,18960,19
15288,2015-11-29,false,18961,19
15289,2015-11-29,false,18962,19
15290,2015-11-29,false,18963,19
15291,2015-11-29,false,18964,19
15292,2015-11-29,false,18965,19
15293,2015-11-29,false,18966,19
15294,2015-11-29,false,18967,19
15295,2015-12-06,false,18969,43
15297,2015-12-06,false,18971,43
15298,2015-12-06,false,18972,43
15299,2015-12-06,false,18973,43
15300,2015-12-06,false,18974,43
15301,2015-12-06,false,18975,43
15302,2015-12-06,false,18976,43
15303,2015-12-06,false,18978,43
15304,2015-12-06,false,18979,43
15305,2015-12-06,false,18980,43
15306,2015-12-06,false,18981,43
15307,2015-12-06,false,18982,43
15308,2015-12-06,false,18983,43
15309,2015-12-06,false,18984,43
15310,2015-12-06,false,18985,26
15311,2015-12-06,false,18986,26
15312,2015-12-06,false,18987,26
15313,2015-12-06,false,18988,26
15314,2015-12-06,false,18989,26
15315,2015-12-06,false,18990,26
15316,2015-12-06,false,18991,26
15317,2015-12-06,false,18992,26
15318,2015-12-06,false,18993,26
15319,2015-12-06,false,18994,26
15320,2015-12-06,false,18995,26
15321,2015-12-06,false,18996,26
15322,2015-12-06,false,18997,26
15323,2015-12-06,false,18998,26
15324,2015-12-06,false,18999,26
15325,2015-12-06,false,19000,26
15326,2015-12-06,false,19001,26
15327,2015-12-06,false,19002,26
15328,2015-12-06,false,19003,26
15329,2015-12-06,false,19004,26
15330,2015-12-06,false,19005,26
15331,2015-12-06,false,19006,26
15332,2015-12-06,false,19007,26
15333,2015-12-06,false,19008,26
15334,2015-12-06,false,19009,26
15335,2015-12-06,false,19010,26
15336,2015-12-06,false,19011,26
15337,2015-12-06,false,19012,26
15338,2015-12-06,false,19013,26
15339,2015-12-06,false,19014,26
15340,2015-12-06,false,19015,26
15341,2015-12-06,false,19016,26
15342,2015-12-06,false,19017,26
15343,2015-12-06,false,19018,26
15344,2015-12-06,false,19019,26
19477,2015-12-06,false,19020,26
15346,2015-12-06,false,19021,26
15347,2015-12-06,false,19022,26
15348,2015-12-06,false,19023,26
15349,2015-12-06,false,19024,26
15350,2015-12-06,false,19025,26
15351,2015-12-06,false,19026,26
15352,2015-12-06,false,19027,26
15353,2015-12-06,false,19028,26
15354,2015-12-06,false,19029,26
15355,2015-12-06,false,19030,26
15356,2015-12-06,false,19031,26
15357,2015-12-06,false,19032,26
15358,2015-12-06,false,19033,26
15359,2015-12-06,false,19034,26
15360,2015-12-06,false,19035,26
15361,2015-12-06,false,19036,26
15362,2015-12-06,false,19037,26
15363,2015-12-06,false,19038,26
15364,2015-12-06,false,19039,26
15365,2015-12-06,false,19040,26
15366,2015-12-06,false,19041,26
15367,2015-12-06,false,19042,26
15368,2015-12-06,false,19043,26
15369,2015-12-06,false,19044,26
15370,2015-12-06,false,19046,26
15371,2015-12-06,false,19047,26
15372,2015-12-06,false,19048,26
15373,2015-12-06,false,19049,26
15374,2015-12-06,false,19050,26
15375,2015-12-06,false,19051,26
15376,2015-12-06,false,19052,26
15377,2015-12-06,false,19053,26
15378,2015-12-06,false,19054,26
15379,2015-12-06,false,19055,26
15380,2015-12-06,false,19056,26
15381,2015-12-06,false,19057,26
15382,2015-12-06,false,19058,26
15383,2015-12-06,false,19059,26
15384,2015-12-06,false,19060,26
15385,2015-12-06,false,19061,26
15386,2015-11-29,false,19063,22
15387,2015-11-29,false,19064,22
15388,2015-11-29,false,19065,22
15389,2015-11-29,false,19066,22
15390,2015-11-29,false,19067,22
15391,2015-11-29,false,19068,22
15392,2015-11-29,false,19069,22
15393,2015-11-29,false,19070,21
15394,2015-11-29,false,19071,22
15395,2015-11-29,false,19073,22
15396,2015-11-29,false,19077,49
15397,2015-12-20,false,19078,49
15398,2015-12-20,false,19079,49
15399,2015-12-20,false,19080,49
15400,2015-12-20,false,19081,49
15401,2015-12-20,false,19082,49
15402,2015-12-05,false,19083,18
15403,2015-12-05,false,19084,18
15404,2015-12-05,false,19085,15
15405,2015-12-06,false,19086,26
